	fuselage (270 polys, 810 verts) 'texture'
		Damaged_tail (12 polys, 36 verts) '02 - Par défaut'
			Objet14 (132 polys, 396 verts) 'dam spars'
			Objet17 (130 polys, 390 verts) '02 - Par défaut'
			Objet18 (130 polys, 390 verts) 'texture'
		capot (160 polys, 480 verts) 'texture'
			pipes_droite (480 polys, 1440 verts) 'Texture_noshine'
			axe_moteur (12 polys, 36 verts) '02 - Par défaut'
				Cone (214 polys, 642 verts) 'Texture_noshine'
					FastProp (4 polys, 12 verts) 'Fast'
					SlowProp (4 polys, 12 verts) 'Slow'
					prop0_stil (44 polys, 132 verts) 'Texture_noshine'
						prop0_stil02 (44 polys, 132 verts) 'Texture_noshine'
						prop0_stil03 (44 polys, 132 verts) 'Texture_noshine'
						prop0_stil01 (44 polys, 132 verts) 'Texture_noshine'
			entree_cap (24 polys, 72 verts) 'texture'
				ouverture_ (6 polys, 18 verts) 'texture'
			pipes_gauche (480 polys, 1440 verts) 'Texture_noshine'
		tail (82 polys, 246 verts) 'texture'
			Verttail (28 polys, 84 verts) 'texture'
				rudder (58 polys, 174 verts) 'texture'
					m_t_antenn (10 polys, 30 verts) 'texture'
					Capsule03 (168 polys, 504 verts) 'texture'
				arr_vertic (8 polys, 24 verts) '02 - Par défaut'
				antenne_pr (14 polys, 42 verts) '12 - Par défaut'
			LeftStab (36 polys, 108 verts) 'texture'
				Leftelevator (38 polys, 114 verts) 'texture'
				arr_stab_g (6 polys, 18 verts) '02 - Par défaut'
				antenne_ar (8 polys, 24 verts) '12 - Par défaut'
			Rightstab (36 polys, 108 verts) 'texture'
				Rightelevator (38 polys, 114 verts) 'texture'
				arr_stab_d (6 polys, 18 verts) '02 - Par défaut'
				antenne_a1 (8 polys, 24 verts) '12 - Par défaut'
			arr_tail (10 polys, 30 verts) '02 - Par défaut'
			Objet19 (28 polys, 84 verts) 'texture'
				rearstruct (20 polys, 60 verts) 'Texture_noshine'
					RearStroke (28 polys, 84 verts) 'Texture_noshine'
						pivot (62 polys, 186 verts) 'Texture_noshine'
							RearTire (176 polys, 528 verts) 'Texture_noshine'
			LeftTR (11 polys, 33 verts) 'texture'
				Objet21 (34 polys, 102 verts) '02 - Par défaut'
			RightTR (9 polys, 27 verts) 'texture'
				Objet22 (31 polys, 93 verts) '02 - Par défaut'
		m_t_anten1 (38 polys, 114 verts) 'texture'
		f_canopy (73 polys, 219 verts) 'texture'
			Objet05 (96 polys, 288 verts) 'Texture_noshine'
			Objet12 (8 polys, 24 verts) 'F-4E_glass_canopy'
			Sphère05 (158 polys, 474 verts) 'Texture_noshine'
			Objet10 (72 polys, 216 verts) 'texture'
			Objet03 (20 polys, 60 verts) 'F-4E_glass_canopy'
			Objet20 (26 polys, 78 verts) 'Texture_noshine'
		Canopy (32 polys, 96 verts) 'texture'
			Objet02 (56 polys, 168 verts) 'F-4E_glass_canopy'
				Tube01 (160 polys, 480 verts) '12 - Par défaut'
				Tube02 (160 polys, 480 verts) '12 - Par défaut'
			Objet06 (96 polys, 288 verts) 'Texture_noshine'
		montant_hu (36 polys, 108 verts) 'texture'
			Objet01 (12 polys, 36 verts) 'F-4E_glass_canopy'
			tet_arr (130 polys, 390 verts) 'Texture_noshine'
			Objet07 (84 polys, 252 verts) 'Texture_noshine'
		barre_arr (10 polys, 30 verts) 'Texture_noshine'
		Damaged_nose (16 polys, 48 verts) '02 - Par défaut'
			supp_engine (56 polys, 168 verts) '02 - Par défaut'
		endcap0_l_ (9 polys, 27 verts) '02 - Par défaut'
		cabine_vc (79 polys, 237 verts) 'Texture_noshine'
			dessus_tb (12 polys, 36 verts) 'Texture_noshine'
			dossier01 (40 polys, 120 verts) 'Texture_noshine'
				tetiere (34 polys, 102 verts) 'Texture_noshine'
			haut_gm (16 polys, 48 verts) '02 - Par défaut'
			gros_monta (4 polys, 12 verts) '02 - Par défaut'
			tb (29 polys, 87 verts) 'Texture_noshine'
				viseur01 (258 polys, 774 verts) 'Texture_noshine'
					montant_vi (20 polys, 60 verts) 'Texture_noshine'
					montant_v1 (20 polys, 60 verts) 'Texture_noshine'
			petits_mon (12 polys, 36 verts) '02 - Par défaut'
		endcap0_r_ (9 polys, 27 verts) '02 - Par défaut'
		RightWing (99 polys, 297 verts) 'texture'
			filtre_droit (56 polys, 168 verts) 'texture'
				cowl_flap0 (28 polys, 84 verts) 'texture'
				Line01 (24 polys, 72 verts) 'texture'
				Line02 (24 polys, 72 verts) 'texture'
				injecteur (14 polys, 42 verts) 'texture'
				Objet13 (4 polys, 12 verts) '02 - Par défaut'
			RightFlap (8 polys, 24 verts) 'texture'
				dessus_fla (4 polys, 12 verts) '02 - Par défaut'
			logement_f (6 polys, 18 verts) '02 - Par défaut'
			endcap0_r1 (7 polys, 21 verts) '02 - Par défaut'
			arr_wing_d (9 polys, 27 verts) 'texture'
			RightOuterWing (24 polys, 72 verts) 'texture'
				arr_wing_1 (1 polys, 3 verts) 'texture'
				Capsule05 (168 polys, 504 verts) 'texture'
			r_aileron (22 polys, 66 verts) 'texture'
				arr_ailero (2 polys, 6 verts) 'texture'
			r_flap1 (6 polys, 18 verts) 'texture'
				dessus_rfl (2 polys, 6 verts) '02 - Par défaut'
			Boîte02 (12 polys, 36 verts) 'Texture_noshine'
			Sphère02 (112 polys, 336 verts) 'texture'
			LeftCanon01 (96 polys, 288 verts) 'texture'
				Objet24 (34 polys, 102 verts) '02 - Par défaut'
			Capsule02 (156 polys, 468 verts) 'texture'
			Sphère06 (344 polys, 1032 verts) 'texture'
			RightBay (82 polys, 246 verts) '02 - Par défaut'
				RightMainStruct (414 polys, 1242 verts) 'Texture_noshine'
					RightPiston (124 polys, 372 verts) 'Texture_noshine'
						RightSupp (24 polys, 72 verts) 'Texture_noshine'
							RightGear (212 polys, 636 verts) 'Texture_noshine'
						Objet15 (36 polys, 108 verts) 'Texture_metal'
					trappe_gau01 (14 polys, 42 verts) 'texture'
						Objet08 (40 polys, 120 verts) 'Texture_noshine'
		LeftWing (99 polys, 297 verts) 'texture'
			endcap0_l1 (7 polys, 21 verts) '02 - Par défaut'
			arr_wing_a (9 polys, 27 verts) 'texture'
			arr_ailer1 (2 polys, 6 verts) 'texture'
			pitot (40 polys, 120 verts) 'texture'
			logement_1 (6 polys, 18 verts) '02 - Par défaut'
			LeftFlap (8 polys, 24 verts) 'texture'
				dessus_fl1 (4 polys, 12 verts) '02 - Par défaut'
			LeftOuterWing (24 polys, 72 verts) 'texture'
				arr_wing_3 (1 polys, 3 verts) 'texture'
				Capsule04 (168 polys, 504 verts) 'texture'
			l_aileron (22 polys, 66 verts) 'texture'
			Sphère01 (112 polys, 336 verts) 'texture'
			Boîte01 (12 polys, 36 verts) 'Texture_noshine'
			filtre_gauche (56 polys, 168 verts) 'texture'
				cowl_flap01 (28 polys, 84 verts) 'texture'
				injecteur01 (14 polys, 42 verts) 'texture'
				Line03 (24 polys, 72 verts) 'texture'
				Line04 (24 polys, 72 verts) 'texture'
				Objet16 (4 polys, 12 verts) '02 - Par défaut'
			Capsule01 (156 polys, 468 verts) 'texture'
			LeftCanon (96 polys, 288 verts) 'texture'
				Objet23 (34 polys, 102 verts) '02 - Par défaut'
			Sphère03 (344 polys, 1032 verts) 'texture'
